fecha,nombre,area,circuito,estructura,lat,long,observaciones,apoyoTipo,apoyoCantidad,configuracion,disposicion,altura,característicasPlaca,avifauna,avifaunaEquiposcrucetaSup,crucetaInf,bayonetaTipo,bayonetaObservaciones,templeteCant,templeteAvifauna,aisladorTipo,aisladorA,aisladorB,aisladorC,dpsA,dpsB,dpsC,seccionador,equiposAdicionalessptBajante,sptConexion,sptCantidad,sptEstado,medR,medP,fotoPath,,,,,
6/3/2025 14:07,,,,,,,,P,null,Retención,null,null,No,,null,,Sencilla,,null,null,Aislador,null,null,null,null,null,null,No,,null,null,null,null,,,,,,,
5/30/2025 11:54,,Jacana Sur,Jacana-Cabrestero ,P-40J,,,,P,1,Suspensión,14,null,No,,1,1,Sencilla,,null,null,Aislador,1,1,1,1,1,1,No,Dps,2,null,null,null,/storage/emulated/0/Download/RegistrosExportados/JPEG_20250530_115423_4358307262369930293.jpg,,,,,,
5/30/2025 11:47,,Jacana ,Jacana-Cabrestero ,P-41J,,,,P,1,Pullover,14,null,Sí,grapas ,null,,Doble,,3,null,Aislador,2,2,2,null,null,null,No,,2,null,null,null,/storage/emulated/0/Download/RegistrosExportados/JPEG_20250530_115354_6768894522785762928.jpg,,,,,,
5/30/2025 11:44,,Jacana Sur ,Jacana-Cabrestero ,P-42J,,,,P,null,Suspensión,14,null,No,,1,1,Sencilla,,null,null,Aislador,1,1,1,null,null,null,No,,2,null,null,null,/storage/emulated/0/Download/RegistrosExportados/JPEG_20250530_114746_5397720418114933307.jpg,,,,,,
5/30/2025 11:43,,Jacana Sur ,Jacana-Cabrestero ,P-43J,,,,P,1,Suspensión,14,null,No,,1,1,Sencilla,,null,null,Aislador,1,1,1,null,null,null,No,,2,null,null,null,/storage/emulated/0/Download/RegistrosExportados/JPEG_20250530_114426_1511436755114077724.jpg,,,,,,
5/30/2025 11:37,,Jacana Sur,Jacana-Cabrestero ,P-44J,,,,P,1,Pullover,14,null,Sí,Grapas y puentes ,null,,Doble,,5,5,Aislador,2,2,2,null,null,null,No,,2,null,null,null,/storage/emulated/0/Download/RegistrosExportados/JPEG_20250530_114259_5408699572861250376.jpg,,,,,,
5/30/2025 11:28,,Jacana ,Jacana-Cabrestero ,P-45J,,,,P,1,Pullover,14,null,Sí,Grapas y Puentes ,null,,Doble,,3,3,Aislador,2,2,2,null,null,null,No,,2,null,null,null,/storage/emulated/0/Download/RegistrosExportados/JPEG_20250530_113731_7709759810339159127.jpg,,,,,,
5/30/2025 11:24,,Jacana,Jacana-Cabrestero ,P-46J,,,,P,1,Pullover,14,null,Sí,Grapas y puentes ,null,,Doble,,3,3,Aislador,2,2,2,null,null,null,No,,2,null,null,null,/storage/emulated/0/Download/RegistrosExportados/JPEG_20250530_112831_3438441797989070321.jpg,,,,,,
5/30/2025 11:20,,Jacana ,Jacana-Cabrestero ,P-47J,4.3831619,-72.7334604,,P,1,Pullover,14,null,Sí,Grapas y puentes ,null,,Doble,,3,3,Aislador,2,2,2,null,null,null,No,,2,null,null,null,/storage/emulated/0/Download/RegistrosExportados/JPEG_20250530_112359_6341922374519582543.jpg,,,,,,
5/30/2025 11:17,,Jacana ,Jacana-Cabrestero ,P-48J,4.3831619,-72.7334604,,P,1,Pullover,14,null,Sí,Grapas y puentes ,null,,Doble,,2,null,Aislador,2,2,2,null,null,null,No,Linepost ,2,null,null,null,/storage/emulated/0/Download/RegistrosExportados/JPEG_20250530_111955_4235251424516012263.jpg,,,,,,
5/30/2025 11:13,,Jacana ,Jacana-Cabrestero ,P-49J,,,,P,1,Suspensión,14,null,Sí,Dps,1,1,Sencilla,,null,null,Aislador,1,1,1,1,1,1,No,Dps,2,null,null,null,/storage/emulated/0/Download/RegistrosExportados/JPEG_20250530_111652_1987820120212464150.jpg,,,,,,
5/30/2025 11:09,,Jacana ,Jacana-Cabrestero ,P-50J,,,,P,1,Suspensión,14,null,No,,1,1,Sencilla,,null,null,Aislador,1,1,1,null,null,null,No,,2,null,null,null,/storage/emulated/0/Download/RegistrosExportados/JPEG_20250530_111303_4881503745135360132.jpg,,,,,,
5/30/2025 11:07,,Jacana ,Jacana-Cabrestero ,P-51J,4.3831619,-72.7334604,,P,1,Suspensión,14,null,No,,1,1,Sencilla,,null,null,Aislador,1,1,1,null,null,null,No,,2,null,null,null,/storage/emulated/0/Download/RegistrosExportados/JPEG_20250530_110939_402546036774440462.jpg,,,,,,
5/30/2025 11:01,,Jacana ,Jacana-Cabrestero ,P-53J,,,,P,1,Suspensión,14,null,No,,1,1,Sencilla,,null,null,Aislador,1,1,1,null,null,null,No,,2,null,null,null,/storage/emulated/0/Download/RegistrosExportados/JPEG_20250530_110632_7449305831462535139.jpg,,,,,,
5/30/2025 10:58,,Jacana ,Jacana -Cabrestero ,P-53J,,,,P,1,Retención,14,null,Sí,Grapas y dps,1,1,Doble,,2,null,Aislador,2,2,2,1,1,1,No,Dps,2,null,null,null,/storage/emulated/0/Download/RegistrosExportados/JPEG_20250530_110111_2725969319818750768.jpg,,,,,,
5/30/2025 10:53,,Jacana ,Jacana - Cabrestero ,P-54J,4.3861946,-72.7257862,,P,1,Suspensión,14,null,No,,1,1,Sencilla,,null,null,Aislador,1,1,1,null,null,null,No,,2,null,null,null,/storage/emulated/0/Download/RegistrosExportados/JPEG_20250530_105759_9125191197519681527.jpg,,,,,,
5/30/2025 10:50,,Jacana ,Jacana -Cabrestero ,P-55J,,,,P,1,Suspensión,14,null,No,,1,1,Sencilla,,null,null,Aislador,1,1,1,null,null,null,No,,2,null,null,null,/storage/emulated/0/Download/RegistrosExportados/JPEG_20250530_105327_6606504296304692754.jpg,,,,,,
5/30/2025 10:47,,Jacana ,Jacana -Cabrestero ,P-56J,,,,P,1,Suspensión,14,null,No,,1,1,Sencilla,,null,null,Aislador,1,1,1,null,null,null,No,,2,null,null,null,/storage/emulated/0/Download/RegistrosExportados/JPEG_20250530_104955_7870255192736822209.jpg,,,,,,
5/30/2025 10:43,,Jacana ,Jacana - Cabrestero ,P-57J,4.3861946,-72.7257862,,P,1,Suspensión,14,null,No,,1,1,Sencilla,,null,null,Aislador,1,1,1,1,1,1,No,dps ,2,null,null,null,/storage/emulated/0/Download/RegistrosExportados/JPEG_20250530_104631_5304236937896407442.jpg,,,,,,
5/30/2025 10:40,,Jacana,Jacana - Cabrestero ,P-58J,4.3861946,-72.7257862,,P,1,Retención,14,null,Sí,Grapas, puentes y templetes ,1,1,Doble,,3,3,Aislador,2,2,2,null,null,null,No,,2,null,null,null,/storage/emulated/0/Download/RegistrosExportados/JPEG_20250530_104329_8694312126480937026.jpg,,,,,
5/30/2025 10:36,,Jacana ,Jacana -Cabrestero ,P-59J,,,,P,1,Pullover,14,null,Sí,Grapas ,null,,Doble,,3,3,Aislador,2,2,2,null,null,null,No,,2,null,null,null,/storage/emulated/0/Download/RegistrosExportados/JPEG_20250530_104016_8895206091139650022.jpg,,,,,,
5/30/2025 10:34,,Jacana ,Jacana - Cabrestero ,P-60J,,,,P,1,Retención,14,null,Sí,Grapas ,1,1,Doble,,3,null,Aislador,null,null,null,null,null,null,No,,2,null,null,null,/storage/emulated/0/Download/RegistrosExportados/JPEG_20250530_103604_8003268144872505100.jpg,,,,,,
5/30/2025 10:30,,Jacana ,Jacana-Cabrestero ,P-61J,,,,P,null,Suspensión,14,null,No,,null,,Sencilla,,null,null,Aislador,1,1,1,1,1,1,No,dps,2,null,null,null,/storage/emulated/0/Download/RegistrosExportados/JPEG_20250530_103357_841539960938071083.jpg,,,,,,
5/30/2025 10:26,,Jacana ,Jacana- Cabrestero ,P-62J,,,,P,1,Suspensión,14,null,No,,1,1,Sencilla,,null,null,Aislador,1,1,1,null,null,null,No,,2,null,null,null,/storage/emulated/0/Download/RegistrosExportados/JPEG_20250530_103022_4764885359222004127.jpg,,,,,,
5/30/2025 10:22,,Jacana ,Jacana - Cabrestero ,P-63,,,,P,1,Suspensión,14,null,No,,1,1,Sencilla,,null,null,Aislador,1,1,1,null,null,null,No,,2,null,null,null,/storage/emulated/0/Download/RegistrosExportados/JPEG_20250530_102619_1970959922804728940.jpg,,,,,,
