fecha;nombre;area;circuito;estructura;lat;long;observaciones;apoyoTipo;apoyoCantidad;configuracion;disposicion;altura;característicasPlaca;avifauna;avifaunaEquipos;crucetaSup;crucetaInf;bayonetaTipo;bayonetaObservaciones;templeteCant;templeteAvifauna;aisladorTipo;aisladorA;aisladorB;aisladorC;dpsA;dpsB;dpsC;seccionador;equiposAdicionales;sptBajante;sptConexion;sptCantidad;sptEstado;fotoPath,,,,,,
2025-06-03 14:07:49;;;;;;;;P;;Retención;Canadiense;;;No;;;;Sencilla;;;;Aislador;;;;;;;No;;;;;;,,,,,,
2025-05-30 11:54:17;;Jacana Sur;Jacana-Cabrestero ;P-40J;;;;P;1;Suspensión;Canadiense;14;;No;;1;1;Sencilla;;;;Aislador;1;1;1;1;1;1;No;Dps;2;;;;/storage/emulated/0/Download/RegistrosExportados/JPEG_20250530_115423_4358307262369930293.jpg,,,,,,
2025-05-30 11:47:59;;Jacana ;Jacana-Cabrestero ;P-41J;;;;P;1;Pullover;Canadiense;14;;Sí;grapas ;;;Doble;;3;;Aislador;2;2;2;;;;No;;2;;;;/storage/emulated/0/Download/RegistrosExportados/JPEG_20250530_115354_6768894522785762928.jpg,,,,,,
2025-05-30 11:44:41;;Jacana Sur ;Jacana-Cabrestero ;P-42J;;;;P;;Suspensión;Canadiense;14;;No;;1;1;Sencilla;;;;Aislador;1;1;1;;;;No;;2;;;;/storage/emulated/0/Download/RegistrosExportados/JPEG_20250530_114746_5397720418114933307.jpg,,,,,,
2025-05-30 11:43:18;;Jacana Sur ;Jacana-Cabrestero ;P-43J;;;;P;1;Suspensión;Canadiense;14;;No;;1;1;Sencilla;;;;Aislador;1;1;1;;;;No;;2;;;;/storage/emulated/0/Download/RegistrosExportados/JPEG_20250530_114426_1511436755114077724.jpg,,,,,,
2025-05-30 11:37:52;;Jacana Sur;Jacana-Cabrestero ;P-44J;;;;P;1;Pullover;Canadiense;14;;Sí;Grapas y puentes ;;;Doble;;5;5;Aislador;2;2;2;;;;No;;2;;;;/storage/emulated/0/Download/RegistrosExportados/JPEG_20250530_114259_5408699572861250376.jpg,,,,,,
2025-05-30 11:28:51;;Jacana ;Jacana-Cabrestero ;P-45J;;;;P;1;Pullover;Canadiense;14;;Sí;Grapas y Puentes ;;;Doble;;3;3;Aislador;2;2;2;;;;No;;2;;;;/storage/emulated/0/Download/RegistrosExportados/JPEG_20250530_113731_7709759810339159127.jpg,,,,,,
2025-05-30 11:24:22;;Jacana;Jacana-Cabrestero ;P-46J;;;;P;1;Pullover;Canadiense;14;;Sí;Grapas y puentes ;;;Doble;;3;3;Aislador;2;2;2;;;;No;;2;;;;/storage/emulated/0/Download/RegistrosExportados/JPEG_20250530_112831_3438441797989070321.jpg,,,,,,
2025-05-30 11:20:14;;Jacana ;Jacana-Cabrestero ;P-47J;4.3831619;-72.7334604;;P;1;Pullover;Canadiense;14;;Sí;Grapas y puentes ;;;Doble;;3;3;Aislador;2;2;2;;;;No;;2;;;;/storage/emulated/0/Download/RegistrosExportados/JPEG_20250530_112359_6341922374519582543.jpg,,,,,,
2025-05-30 11:17:06;;Jacana ;Jacana-Cabrestero ;P-48J;4.3831619;-72.7334604;;P;1;Pullover;Canadiense;14;;Sí;Grapas y puentes ;;;Doble;;2;;Aislador;2;2;2;;;;No;Linepost ;2;;;;/storage/emulated/0/Download/RegistrosExportados/JPEG_20250530_111955_4235251424516012263.jpg,,,,,,
